phi_ext,I_theory,I_noisy,errors
-0.0001743486973947896,5.8998854243334605e-05,5.9182954161364784e-05,2e-07
-0.00017394789579158317,5.906306572569676e-05,5.913573265151779e-05,2e-07
-0.00017354709418837677,5.911305342673548e-05,5.9199754305820984e-05,2e-07
-0.00017314629258517034,5.9148056335740126e-05,5.9009849146802336e-05,2e-07
-0.00017274549098196393,5.916755070793821e-05,5.90852591408283e-05,2e-07
-0.00017234468937875753,5.917125835735768e-05,5.952120906940936e-05,2e-07
-0.0001719438877755511,5.915915106156418e-05,5.9092486137126515e-05,2e-07
-0.0001715430861723447,5.913145100852876e-05,5.9205935731262115e-05,2e-07
-0.00017114228456913827,5.908862727855136e-05,5.899441000930436e-05,2e-07
-0.00017074148296593187,5.90313884169437e-05,5.9163032124069215e-05,2e-07
-0.00017034068136272546,5.896067121507449e-05,5.9030540582572964e-05,2e-07
-0.00016993987975951906,5.8877625877415845e-05,5.8961929247931824e-05,2e-07
-0.00016953907815631263,5.8783597809450606e-05,5.883651933508624e-05,2e-07
-0.00016913827655310623,5.86801063148119e-05,5.8916212039986795e-05,2e-07
-0.0001687374749498998,5.856882053895343e-05,5.8442007554618064e-05,2e-07
-0.0001683366733466934,5.845153304025853e-05,5.793342947263104e-05,2e-07
-0.000167935871743487,5.8330131407052786e-05,5.841725916889516e-05,2e-07
-0.00016753507014028056,5.820656836993713e-05,5.825778714090433e-05,2e-07
-0.00016713426853707416,5.8082830882667956e-05,5.811634766909983e-05,2e-07
-0.00016673346693386773,5.7960908661157196e-05,5.7952722010806574e-05,2e-07
-0.00016633266533066133,5.784276267873693e-05,5.768542664324346e-05,2e-07
-0.00016593186372745492,5.773029411652588e-05,5.745718286847273e-05,2e-07
-0.00016553106212424852,5.762531426053713e-05,5.738981499755572e-05,2e-07
-0.0001651302605210421,5.7529515822161525e-05,5.751119673518915e-05,2e-07
-0.0001647294589178357,5.744444613613833e-05,5.775198008412716e-05,2e-07
-0.00016432865731462926,5.737148266038874e-05,5.7209325438987256e-05,2e-07
-0.00016392785571142285,5.73118111656401e-05,5.728818721639657e-05,2e-07
-0.00016352705410821645,5.7266406960189184e-05,5.7209600572484655e-05,2e-07
