phi_ext,I_theory,I_noisy,errors
-0.00016953907815631263,5.931682696275628e-05,5.9001803059396196e-05,2e-07
-0.00016913827655310623,5.916879857646277e-05,5.9040214175448315e-05,2e-07
-0.0001687374749498998,5.898039919658071e-05,5.904607226011161e-05,2e-07
-0.0001683366733466934,5.8753720876065775e-05,5.88546275512481e-05,2e-07
-0.000167935871743487,5.8496043908322186e-05,5.840059567284347e-05,2e-07
-0.00016753507014028056,5.822018511363874e-05,5.832744419506106e-05,2e-07
-0.00016713426853707416,5.7942795252224785e-05,5.774154747686545e-05,2e-07
-0.00016673346693386773,5.768086825057902e-05,5.792220073907906e-05,2e-07
-0.00016633266533066133,5.744807755231814e-05,5.724956949310834e-05,2e-07
-0.00016593186372745492,5.72526977559099e-05,5.706608307196008e-05,2e-07
-0.00016553106212424852,5.709763724889538e-05,5.682731397197537e-05,2e-07
-0.0001651302605210421,5.698183787176249e-05,5.707963464367921e-05,2e-07
-0.0001647294589178357,5.6901982223371407e-05,5.701213553450081e-05,2e-07
-0.00016432865731462926,5.685385405080444e-05,5.71694472064031e-05,2e-07
-0.00016392785571142285,5.683318203848986e-05,5.678419559818268e-05,2e-07
-0.00016352705410821645,5.683605888621354e-05,5.6632054936817474e-05,2e-07
-0.00016312625250501002,5.6859090094214416e-05,5.704958023092637e-05,2e-07
-0.00016272545090180362,5.689939896646032e-05,5.69511767933547e-05,2e-07
-0.0001623246492985972,5.695456831336696e-05,5.707352098128455e-05,2e-07
-0.00016192384769539078,5.7022562723086096e-05,5.713130605227587e-05,2e-07
-0.00016152304609218438,5.710165229652776e-05,5.6792310691186795e-05,2e-07
-0.00016112224448897798,5.719034613793893e-05,5.733571469683876e-05,2e-07
-0.00016072144288577155,5.728733766634076e-05,5.717883765822866e-05,2e-07
-0.00016032064128256515,5.7391461076477454e-05,5.734146232551402e-05,2e-07
-0.00015991983967935872,5.7501657295182445e-05,5.741500019521939e-05,2e-07
-0.0001595190380761523,5.761694760557133e-05,5.7832949263147936e-05,2e-07
