Phi_ext,I_theory,I_noisy,errors
-0.00017715430861723447,5.8257862214438276e-05,5.779615635324169e-05,2e-07
-0.00017675350701402807,5.8384927370855146e-05,5.835153660672108e-05,2e-07
-0.00017635270541082164,5.8510497297231424e-05,5.847457783452626e-05,2e-07
-0.00017595190380761524,5.8633754148241664e-05,5.878292061300118e-05,2e-07
-0.00017555110220440884,5.875385967086088e-05,5.890805054886899e-05,2e-07
-0.0001751503006012024,5.8869945684299636e-05,5.938770094501766e-05,2e-07
-0.000174749498997996,5.8981102210094714e-05,5.908209753707943e-05,2e-07
-0.0001743486973947896,5.90863623521727e-05,5.905373747681123e-05,2e-07
-0.00017394789579158317,5.9184682813967505e-05,5.9815412228408624e-05,2e-07
-0.00017354709418837677,5.927491868587338e-05,5.893104646549133e-05,2e-07
-0.00017314629258517034,5.935579087349113e-05,5.8897861796483977e-05,2e-07
-0.00017274549098196393,5.9425844351424784e-05,5.9546940327624294e-05,2e-07
-0.00017234468937875753,5.948339551781872e-05,5.940353155551522e-05,2e-07
-0.0001719438877755511,5.952646771449872e-05,5.970618828529297e-05,2e-07
-0.0001715430861723447,5.955271630929841e-05,5.961817366461076e-05,2e-07
-0.00017114228456913827,5.955935018084574e-05,5.978415325299785e-05,2e-07
-0.00017074148296593187,5.9543067668636e-05,5.927877347200181e-05,2e-07
-0.00017034068136272546,5.950004590568992e-05,5.941148990488254e-05,2e-07
-0.00016993987975951906,5.942605662532509e-05,5.925222513581661e-05,2e-07
-0.00016953907815631263,5.931682696275628e-05,5.9577480390140084e-05,2e-07
-0.00016913827655310623,5.916879857646277e-05,5.897094590309641e-05,2e-07
-0.0001687374749498998,5.898039919658071e-05,5.900340515889426e-05,2e-07
-0.0001683366733466934,5.8753720876065775e-05,5.8726025270298386e-05,2e-07
-0.000167935871743487,5.8496043908322186e-05,5.8334453580968704e-05,2e-07
-0.00016753507014028056,5.822018511363874e-05,5.836973696634004e-05,2e-07
-0.00016713426853707416,5.7942795252224785e-05,5.804748409372294e-05,2e-07
-0.00016673346693386773,5.768086825057902e-05,5.770008064197597e-05,2e-07
-0.00016633266533066133,5.744807755231814e-05,5.7665689590921046e-05,2e-07
-0.00016593186372745492,5.72526977559099e-05,5.685922667853252e-05,2e-07
-0.00016553106212424852,5.709763724889538e-05,5.714207914042195e-05,2e-07
-0.0001651302605210421,5.698183787176249e-05,5.687314950977761e-05,2e-07
-0.0001647294589178357,5.6901982223371407e-05,5.693262969350475e-05,2e-07
-0.00016432865731462926,5.685385405080444e-05,5.6593547143293365e-05,2e-07
-0.00016392785571142285,5.683318203848986e-05,5.6597065122473176e-05,2e-07
-0.00016352705410821645,5.683605888621354e-05,5.7074091183921724e-05,2e-07
-0.00016312625250501002,5.6859090094214416e-05,5.686203502590789e-05,2e-07
-0.00016272545090180362,5.689939896646032e-05,5.657511768660554e-05,2e-07
-0.0001623246492985972,5.695456831336696e-05,5.724157115493283e-05,2e-07
-0.00016192384769539078,5.7022562723086096e-05,5.7205324712937364e-05,2e-07
-0.00016152304609218438,5.710165229652776e-05,5.717672423005894e-05,2e-07
-0.00016112224448897798,5.719034613793893e-05,5.680040277676621e-05,2e-07
-0.00016072144288577155,5.728733766634076e-05,5.732830099233323e-05,2e-07
-0.00016032064128256515,5.7391461076477454e-05,5.7496427047921e-05,2e-07
-0.00015991983967935872,5.7501657295182445e-05,5.766935191639375e-05,2e-07
-0.0001595190380761523,5.761694760557133e-05,5.778709977047076e-05,2e-07
-0.0001591182364729459,5.773641326773419e-05,5.7767563252270845e-05,2e-07
-0.00015871743486973948,5.7859179722358255e-05,5.806816060434135e-05,2e-07
-0.00015831663326653308,5.7984404222439286e-05,5.7976290173839176e-05,2e-07
-0.00015791583166332665,5.811126595915243e-05,5.8390358919222876e-05,2e-07
-0.00015751503006012024,5.823895792023694e-05,5.7974218179465174e-05,2e-07
-0.00015711422845691384,5.8366679843337336e-05,5.854193073728059e-05,2e-07
-0.0001567134268537074,5.849363170664529e-05,5.8521528104364144e-05,2e-07
-0.000156312625250501,5.8619007238704464e-05,5.86336481085122e-05,2e-07
-0.00015591182364729458,5.874198693067087e-05,5.859648155423266e-05,2e-07
-0.00015551102204408818,5.8861729997685684e-05,5.848357061679413e-05,2e-07
-0.00015511022044088177,5.8977364659284e-05,5.9022668533830276e-05,2e-07
-0.00015470941883767537,5.90879759881249e-05,5.916253361867802e-05,2e-07
-0.00015430861723446894,5.9192590407756225e-05,5.9264516196447004e-05,2e-07
-0.00015390781563126254,5.929015570270512e-05,5.905856635354938e-05,2e-07
-0.0001535070140280561,5.937951514742623e-05,5.948319766556868e-05,2e-07
-0.0001531062124248497,5.94593741003958e-05,5.916090728217995e-05,2e-07
-0.0001527054108216433,5.95282572399797e-05,6.005070201693393e-05,2e-07
-0.00015230460921843687,5.958445475497579e-05,5.9704350775413134e-05,2e-07
-0.00015190380761523047,5.962595669947881e-05,5.9343526895412125e-05,2e-07
-0.00015150300601202404,5.9650377278732174e-05,5.98973486744112e-05,2e-07
-0.00015110220440881764,5.965487671328716e-05,5.9578634969492524e-05,2e-07
-0.00015070140280561123,5.96361003252346e-05,5.949927923538844e-05,2e-07
-0.00015030060120240483,5.959017654109866e-05,5.988922376429617e-05,2e-07
