model,transparency,flux_phi0,critical_current_normalized,critical_current_zero_field
AB,0.01,-8.358358358358359,0.0005399369853297935,0.01570758450269403
AB,0.01,-8.338338338338339,0.0005239406012642519,0.01570758450269403
AB,0.01,-8.318318318318319,0.000505790337908974,0.01570758450269403
AB,0.01,-8.298298298298299,0.0004855475521950525,0.01570758450269403
AB,0.01,-8.278278278278279,0.00046328214221344537,0.01570758450269403
AB,0.01,-8.258258258258259,0.00043907231348579894,0.01570758450269403
AB,0.01,-8.238238238238239,0.0004130043115830435,0.01570758450269403
AB,0.01,-8.218218218218219,0.00038517212197794655,0.01570758450269403
AB,0.01,-8.198198198198199,0.0003556771381495592,0.01570758450269403
AB,0.01,-8.178178178178179,0.0003246277990858175,0.01570758450269403
AB,0.01,-8.158158158158159,0.00029213919745506225,0.01570758450269403
AB,0.01,-8.138138138138139,0.0002583326598373638,0.01570758450269403
AB,0.01,-8.118118118118119,0.00022333530052179705,0.01570758450269403
AB,0.01,-8.098098098098099,0.00018727955048581245,0.01570758450269403
AB,0.01,-8.078078078078079,0.00015030266327696704,0.01570758450269403
AB,0.01,-8.058058058058059,0.00011254619961533941,0.01570758450269403
AB,0.01,-8.038038038038039,7.415549262629975e-05,0.01570758450269403
AB,0.01,-8.018018018018019,3.5279095697722105e-05,0.01570758450269403
AB,0.01,-7.997997997997998,3.931784967240276e-06,0.01570758450269403
AB,0.01,-7.977977977977978,4.332387096125702e-05,0.01570758450269403
AB,0.01,-7.957957957957958,8.274240324596872e-05,0.01570758450269403
AB,0.01,-7.937937937937938,0.00012203174243205398,0.01570758450269403
AB,0.01,-7.917917917917918,0.00016103597546656727,0.01570758450269403
AB,0.01,-7.897897897897898,0.00019959952639191867,0.01570758450269403
AB,0.01,-7.877877877877878,0.0002375677688137947,0.01570758450269403
AB,0.01,-7.857857857857858,0.00027478763769738055,0.01570758450269403
AB,0.01,-7.837837837837838,0.0003111082381023044,0.01570758450269403
AB,0.01,-7.817817817817818,0.0003463814484671229,0.01570758450269403
AB,0.01,-7.797797797797798,0.0003804625160637701,0.01570758450269403
AB,0.01,-7.777777777777778,0.0004132106422612946,0.01570758450269403
AB,0.01,-7.757757757757758,0.0004444895552662939,0.01570758450269403
AB,0.01,-7.737737737737738,0.00047416806804482153,0.01570758450269403
AB,0.01,-7.717717717717718,0.0005021206191768463,0.01570758450269403
AB,0.01,-7.697697697697698,0.0005282277944496852,0.01570758450269403
AB,0.01,-7.677677677677678,0.0005523768270608906,0.01570758450269403
AB,0.01,-7.657657657657658,0.0005744620743736936,0.01570758450269403
AB,0.01,-7.637637637637638,0.0005943854692490562,0.01570758450269403
AB,0.01,-7.617617617617618,0.0006120569440673464,0.01570758450269403
AB,0.01,-7.597597597597598,0.000627394825649409,0.01570758450269403
AB,0.01,-7.5775775775775776,0.0006403261993908889,0.01570758450269403
AB,0.01,-7.5575575575575575,0.0006507872410348458,0.01570758450269403
AB,0.01,-7.5375375375375375,0.0006587235146254784,0.01570758450269403
AB,0.01,-7.5175175175175175,0.0006640902353098001,0.01570758450269403
AB,0.01,-7.4974974974974975,0.0006668524957838657,0.01570758450269403
AB,0.01,-7.4774774774774775,0.0006669854553152411,0.01570758450269403
AB,0.01,-7.4574574574574575,0.0006644744904132529,0.01570758450269403
AB,0.01,-7.4374374374374375,0.0006593153063627219,0.01570758450269403
AB,0.01,-7.4174174174174174,0.0006515140089847649,0.01570758450269403
AB,0.01,-7.397397397397397,0.0006410871361393477,0.01570758450269403
AB,0.01,-7.377377377377377,0.0006280616486379864,0.01570758450269403
AB,0.01,-7.357357357357357,0.0006124748803907486,0.01570758450269403
AB,0.01,-7.337337337337337,0.0005943744477689348,0.01570758450269403
AB,0.01,-7.317317317317317,0.0005738181183228918,0.01570758450269403
AB,0.01,-7.297297297297297,0.0005508736391527405,0.01570758450269403
AB,0.01,-7.277277277277277,0.0005256185253877779,0.01570758450269403
AB,0.01,-7.257257257257257,0.0004981398093873043,0.01570758450269403
AB,0.01,-7.237237237237237,0.00046853375143109935,0.01570758450269403
AB,0.01,-7.217217217217217,0.0004369055128209605,0.01570758450269403
AB,0.01,-7.197197197197197,0.0004033687924652409,0.01570758450269403
AB,0.01,-7.177177177177177,0.00036804542816538596,0.01570758450269403
AB,0.01,-7.157157157157157,0.00033106496396660993,0.01570758450269403
AB,0.01,-7.137137137137137,0.00029256418507344684,0.01570758450269403
AB,0.01,-7.117117117117117,0.0002526866219644705,0.01570758450269403
AB,0.01,-7.097097097097097,0.00021158202546830401,0.01570758450269403
AB,0.01,-7.077077077077077,0.00016940581468486264,0.01570758450269403
AB,0.01,-7.057057057057057,0.00012631849975084134,0.01570758450269403
AB,0.01,-7.037037037037037,8.248508155646573e-05,0.01570758450269403
AB,0.01,-7.017017017017017,3.807443062092718e-05,0.01570758450269403
AB,0.01,-6.996996996996997,6.741352573597103e-06,0.01570758450269403
AB,0.01,-6.976976976976977,5.1787593405486625e-05,0.01570758450269403
AB,0.01,-6.956956956956957,9.688771263555965e-05,0.01570758450269403
AB,0.01,-6.936936936936937,0.00014186390710192807,0.01570758450269403
AB,0.01,-6.916916916916917,0.00018653783900563333,0.01570758450269403
AB,0.01,-6.896896896896897,0.00023073133115771954,0.01570758450269403
AB,0.01,-6.876876876876877,0.00027426706552114864,0.01570758450269403
AB,0.01,-6.856856856856857,0.00031696928235372065,0.01570758450269403
AB,0.01,-6.836836836836837,0.0003586644772412935,0.01570758450269403
AB,0.01,-6.816816816816817,0.00039918209330390604,0.01570758450269403
AB,0.01,-6.796796796796797,0.0004383552058612857,0.01570758450269403
AB,0.01,-6.776776776776776,0.0004760211968585011,0.01570758450269403
AB,0.01,-6.756756756756756,0.0005120224163772869,0.01570758450269403
AB,0.01,-6.736736736736736,0.0005462068285937554,0.01570758450269403
AB,0.01,-6.716716716716716,0.0005784286395887554,0.01570758450269403
AB,0.01,-6.696696696696696,0.0006085489044728923,0.01570758450269403
AB,0.01,-6.676676676676676,0.0006364361113540579,0.01570758450269403
AB,0.01,-6.656656656656656,0.0006619667397510205,0.01570758450269403
AB,0.01,-6.636636636636636,0.0006850257911419105,0.01570758450269403
AB,0.01,-6.616616616616616,0.0007055072894311665,0.01570758450269403
AB,0.01,-6.596596596596596,0.0007233147492221553,0.01570758450269403
AB,0.01,-6.576576576576576,0.0007383616098951052,0.01570758450269403
AB,0.01,-6.556556556556556,0.0007505716336106787,0.01570758450269403
AB,0.01,-6.536536536536536,0.0007598792654880915,0.01570758450269403
AB,0.01,-6.516516516516516,0.0007662299543426878,0.01570758450269403
AB,0.01,-6.496496496496496,0.0007695804325108663,0.01570758450269403
AB,0.01,-6.476476476476476,0.0007698989534396334,0.01570758450269403
